Journal title	ISSN	eISSN	Publisher details	Open Access Status
Romani Studies	1528-0748	-	Liverpool University Press	Unpaywall Open Access
Romanian Agricultural Research	1222-4227	2067-5720	Agricultural Research and Development Institute Fundulea.	
Romanian Astronomical Journal	1220-5168	2285-3758	Publishing House of the Romanian Academy	
Romanian Journal of Acoustics and Vibration	1584-7284	-	Romanian Society of Acoustics	
Romanian Journal of Anaesthesia and Intensive Care	2392-7518	2502-0307	Sciendo	
Romanian Journal of Applied Psychology	2392-8441	2392-845X	Sciendo	Unpaywall Open Access
Romanian Journal of Communication and Public Relations	1454-8100	2344-5440	National University of Political Studies and Public Administration	Unpaywall Open Access
Romanian Journal of Diabetes, Nutrition and Metabolic Diseases	1583-8609	-	Romanian Society of Diabetes, Nutrition and Metabolic Diseases	
Romanian Journal of Economic Forecasting	1582-6163	2537-6071	Institute for Economic Forecasting	
Romanian Journal of European Affairs	1582-8271	1841-4273	European Institute of Romania	
Romanian Journal of Geography	1220-5311	2285-9675	Publishing House of the Romanian Academy	
Romanian Journal of Infectious Diseases	1454-3389	2069-6051	Amaltea Medical Publishing House	Unpaywall Open Access
Romanian Journal of Information Science and Technology	1453-8245	-	Publishing House of the Romanian Academy	
Romanian Journal of Internal Medicine	2501-062X	2501-062X	Walter de Gruyter GmbH	Unpaywall Open Access
Romanian Journal of Legal Medicine	1221-8618	-	Romanian Legal Medicine Society	
Romanian Journal of Medical Practice	1842-8258	2069-6108	Amaltea Medical Publishing House	Unpaywall Open Access
Romanian Journal of Morphology and Embryology	1220-0522	2066-8279	Publishing House of the Romanian Academy	
Romanian Journal of Neurology/ Revista Romana de Neurologie	1843-8148	2069-6094	Amaltea Medical Publishing House	Unpaywall Open Access
Romanian Journal of Pediatrics	1454-0398	2069-6175	Amaltea Medical Publishing House	Unpaywall Open Access
Romanian Journal of Physics	1221-146X	-	Publishing House of the Romanian Academy	
Romanian Journal of Political Science	1582-456X	2068-7613	Publishing House of the Romanian Academy	
Romanian Journal of Rheumatology	1843-0791	2069-6086	Amaltea Medical Publishing House	Unpaywall Open Access
Romanian Journal of Stomatology	1843-0805	2069-6078	Amaltea Medical Publishing House	Unpaywall Open Access
Romanian Medical Journal	1220-5478	2069-606X	Amaltea Medical Publishing House	Unpaywall Open Access
Romanian Reports in Physics	1221-1451	1841-8759	Publishing House of the Romanian Academy	
Romanic Review	0035-8118	-	Duke University Press	
Romanica Cracoviensia	1732-8705	2084-3917	Jagiellonian University Press	Unpaywall Open Access
Romanica Olomucensia	1803-4136	2571-0966	Palacky University Olomouc	Unpaywall Open Access
Romanica Wratislaviensia	0557-2665	-	Wydawnictwo Uniwersytetu Wroclawskiego Sp. z o.o.	
Romanische Forschungen	0035-8126	-	Vittorio Klostermann	
RomanoArabica	-	1582-6953	Bucharest University Press	
Romanticism	1354-991X	-	Edinburgh University Press	
Romantisme	0048-8593	-	Armand Colin Paris	
Romaya Journal: Researches on Multidisciplinary Approaches	-	2791-9099	Ebru Bagci	
Rorschachiana	1192-5604	2151-206X	Hogrefe Publishing	
Rossiiskii Oftal'mologicheskii Zhurnal	2072-0076	2587-5760	Real Time Ltd.	Unpaywall Open Access
Rossijskaja Arheologija	0869-6063	-	Izdatel'stvo Nauka	
Rossijskij Bioterapevticeskij Zurnal	1726-9784	1726-9792	ABV-press Publishing House	
Rossijskij Osteopaticeskij Zurnal	2220-0975	-	Russian Osteopathic Association	
Rossijskij Psihiatriceskij Zurnal	1560-957X	-	V. Serbsky National Medical Research Centre for Psychiatry and Narcology	
Rossiyskiy Vestnik Perinatologii i Pediatrii	1027-4065	2500-2228	National Academy of Pediatric Science and Innovation	Unpaywall Open Access
Rostaniha	1608-4306	2423-6608	Iranian Research Institute of Plant Protection	
Rotura: Journal of Communication, Culture and Arts	-	2184-8661	University of Algarve Research Centre for Arts and Communication	
Round Table	0035-8533	1474-029X	Routledge	
Royal Society Open Science	-	2054-5703	The Royal Society	Unpaywall Open Access
Royal Studies Journal	-	2057-6730	Winchester University Press	Unpaywall Open Access
Rozhledy v Chirurgii	0035-9351	1805-4579	Czech Medical Association J.E. Purkyne	
RSC Advances	2046-2069	-	Royal Society of Chemistry	Unpaywall Open Access
RSC Chemical Biology	-	2633-0679	Royal Society of Chemistry	Unpaywall Open Access
RSC Detection Science	2052-3068	2052-3076	Royal Society of Chemistry	
RSC Drug Discovery Series	2041-3203	2041-3211	Royal Society of Chemistry	
RSC Energy and Environment Series	2044-0774	2044-0782	Royal Society of Chemistry	
RSC Green Chemistry	1757-7039	1757-7047	Royal Society of Chemistry	
RSC Medicinal Chemistry	-	2632-8682	Royal Society of Chemistry	
RSC Nanoscience and Nanotechnology	1757-7136	1757-7144	Royal Society of Chemistry	
RSC Polymer Chemistry Series	2044-0790	2044-0804	Royal Society of Chemistry	
RSC Sustainability	-	2753-8125	Royal Society of Chemistry	Unpaywall Open Access
RSC Theoretical and Computational Chemistry Series	2041-3181	2041-319X	Royal Society of Chemistry	
RSF	2377-8253	2377-8261	Russell Sage Foundation	Unpaywall Open Access
Ruan Jian Xue Bao/Journal of Software	1000-9825	-	Chinese Academy of Sciences	
Rubber Chemistry and Technology	0035-9475	-	Rubber Division of the American Chemical Society	
Rubber World	0035-9572	-	Lippincott and Peto Inc.	
Rubrica Contemporanea	-	2014-5748	Universitat Autonoma de Barcelona	Unpaywall Open Access
Ruch Filozoficzny	0035-9599	2545-3173	Nicolaus Copernicus University	Unpaywall Open Access
Rudarsko Geolosko Naftni Zbornik	0353-4529	1849-0409	Faculty of Mining, Geology and Petroleum Engineering University of Zagreb	Unpaywall Open Access
RUDN Journal of Language Studies, Semiotics and Semantics	2313-2299	2411-1236	Peoples' Friendship University of Russia	Unpaywall Open Access
RUDN Journal of Medicine	2313-0245	2313-0261	RUDN University	Unpaywall Open Access
RUDN Journal of Philosophy	2313-2302	2408-8900	RUDN University	Unpaywall Open Access
RUDN Journal of Russian History	2312-8674	2312-8690	RUDN University	Unpaywall Open Access
RUDN Journal of Sociology	2313-2272	2408-8897	RUDN University	Unpaywall Open Access
RUDN Journal of Studies in Literature and Journalism	2312-9220	2312-9247	RUDN University	Unpaywall Open Access
Rulers and Elites	2211-4610	2211-4629	Brill Academic Publishers	
Ruminants	-	2673-933X	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Rural and Remote Health	1445-6354	-	James Cook University	Unpaywall Open Access
Rural China	2213-6738	2213-6746	Brill Academic Publishers	
Rural Educator	0273-446X	2643-9662	National Rural Education Association	Unpaywall Open Access
Rural History: Economy, Society, Culture	0956-7933	1474-0656	Cambridge University Press	
Rural Landscapes	-	2002-0104	Stockholm University Press	Unpaywall Open Access
Rural Society	1037-1656	-	Taylor and Francis Ltd.	
Rural Sociology	0036-0112	1549-0831	Wiley-Blackwell	
Rural Special Education Quarterly	8756-8705	2168-8605	SAGE Publications Ltd	
Rural Sustainability Research	-	2256-0939	Sciendo	
Rural Theology	1470-4994	2042-1273	Maney Publishing	
RusAutoCon - Proceedings of the International Russian Automation Conference	2836-6131	2836-614X	Institute of Electrical and Electronics Engineers Inc.	
RUSI Journal	0307-1847	1744-0378	Routledge	
Rusin	1857-2685	2345-1149	Association 'Rus'	
Russell - Journal of the Bertrand Russell Studies	0036-0163	-	Johns Hopkins University Press	
Russia in Global Affairs	1810-6374	2618-9844	Foreign Policy Research Foundation	
Russian Aeronautics	1068-7998	1934-7901	Pleiades Publishing	
Russian Archives of Internal Medicine	2226-6704	2411-6564	SINAPS LLC	Unpaywall Open Access
Russian Bulletin of Obstetrician-Gynecologist	1726-6122	2309-5148	Media Sphera Publishing Group	
Russian Cardiology Bulletin	2077-6764	2712-889X	Media Sphera Publishing Group	
Russian Chemical Bulletin	1066-5285	1573-9171	Springer New York	
Russian Chemical Reviews	0036-021X	1468-4837	Editorial Board of the Journal Uspekhi Khimii (Russian Chemical Reviews)	
Russian Electrical Engineering	1068-3712	1934-8010	Pleiades Publishing	
Russian Electronic Journal of Radiology	-	2222-7415	Russian Electronic Journal of Radiology	
Russian Engineering Research	1068-798X	1934-8088	Pleiades Publishing	
Russian Entomological Journal	0132-8069	-	KMK Scientific Press Ltd.	
Russian Family Doctor	2072-1668	2713-2331	Eco-Vector LLC	
Russian Geology and Geophysics	1068-7971	-	Publishing House of Siberian Branch of the Russian Academy of Sciences	
Russian History	0094-288X	-	Brill Academic Publishers	
Russian History and Culture	1877-7791	-	Brill Academic Publishers	
Russian Japanology Review	2658-6789	2658-6444	Association of Japanologists	Unpaywall Open Access
Russian Journal of Allergy	1810-8830	2686-682X	Pharmarus Print Media	
Russian Journal of Anesthesiology and Reanimatology /Anesteziologiya i Reanimatologiya	0201-7563	2410-4698	Media Sphera Publishing Group	
Russian Journal of Applied Chemistry	1070-4272	1608-3296	Pleiades Publishing	
Russian Journal of Biological Invasions	2075-1117	2075-1125	Pleiades Publishing	
Russian Journal of Biomechanics	1812-5123	2410-065X	Perm National Research Polytechnic University	
Russian Journal of Bioorganic Chemistry	1068-1620	1608-330X	Pleiades Publishing	
Russian Journal of Cardiology	1560-4071	-	Russian Society of Cardiology	Unpaywall Open Access
Russian Journal of Clinical Ophthalmology	2311-7729	2619-1571	Medicine-Inform LLC	Unpaywall Open Access
Russian Journal of Coordination Chemistry/Koordinatsionnaya Khimiya	1070-3284	1608-3318	Pleiades Publishing	
Russian Journal of Earth Sciences	1681-1178	1681-1208	Geophysical Center of the Russian Academy of Sciences	
Russian Journal of Ecology	1067-4136	1608-3334	Pleiades Publishing	
Russian Journal of Economics	2618-7213	2405-4739	Non-profit partnership 'Voprosy Ekonomiki'	Unpaywall Open Access
Russian Journal of Electrochemistry	1023-1935	1608-3342	Pleiades Publishing	
Russian Journal of Evidence-Based Gastroenterology	2305-2260	2309-1363	Media Sphera Publishing Group	
Russian Journal of Forensic Medicine	2411-8729	2409-4161	Eco-Vector LLC	Unpaywall Open Access
Russian Journal of Forest Science	0024-1148	-	Izdatel'stvo Nauka	
Russian Journal of Gastroenterology, Hepatology, Coloproctology	1382-4376	2658-6673	Russian Gastroenterological Association	Unpaywall Open Access
Russian Journal of General Chemistry	1070-3632	1608-3350	Pleiades Publishing	
Russian Journal of Genetics	1022-7954	1608-3369	Pleiades Publishing	
Russian Journal of Herpetology	1026-2296	-	Folium Ltd	
Russian Journal of Human Reproduction	1025-7217	2309-4885	Media Sphera Publishing Group	
Russian Journal of Immunology	1028-7221	2782-7291	Russian Society of Immunology	
Russian Journal of Infection and Immunity	2220-7619	2313-7398	Saint Petersburg Pasteur Institute	Unpaywall Open Access
Russian Journal of Inorganic Chemistry	0036-0236	1531-8613	Pleiades Publishing	
Russian Journal of Linguistics	2687-0088	2686-8024	RUDN University	Unpaywall Open Access
Russian Journal of Marine Biology	1063-0740	1608-3377	Pleiades Publishing	
Russian Journal of Mathematical Physics	1061-9208	1555-6638	Pleiades Publishing	
Russian Journal of Nematology	0869-6918	-	Russian Academy of Sciences	
Russian Journal of Neurosurgery	1683-3295	2587-7569	ABV-press Publishing House	
Russian Journal of Nondestructive Testing	1061-8309	1608-3385	Pleiades Publishing	
Russian Journal of Non-Ferrous Metals	1067-8212	1934-970X	Pleiades Publishing	
Russian Journal of Nonlinear Dynamics	2658-5324	2658-5316	Institute of Computer Science Izhevsk	Unpaywall Open Access
Russian Journal of Numerical Analysis and Mathematical Modelling	0927-6467	1569-3988	Walter de Gruyter GmbH	
Russian Journal of Operative Surgery and Clinical Anatomy	2587-7755	2588-042X	Media Sphera Publishing Group	
Russian Journal of Organic Chemistry	1070-4280	1608-3393	Pleiades Publishing	
Russian Journal of Pacific Geology	1819-7140	1819-7159	Pleiades Publishing	
Russian Journal of Pain	2219-5297	2618-9860	Media Sphera Publishing Group	
Russian Journal of Pediatric Hematology and Oncology	2311-1267	2413-5496	Graphica Ltd	
Russian Journal of Pediatric Surgery, Anesthesia and Intensive Care	2219-4061	2587-6554	Eco-Vector LLC	
Russian Journal of Physical Chemistry A	0036-0244	1531-863X	Pleiades Publishing	
Russian Journal of Physical Chemistry B	1990-7931	1990-7923	Pleiades Publishing	
Russian Journal of Plant Physiology	1021-4437	1608-3407	Pleiades Publishing	
Russian Journal of Skin and Venereal Diseases	1560-9588	2412-9097	Eco-Vector LLC	
Russian Journal of Stomatology	2072-6406	2309-5156	Media Sphera Publishing Group	
Russian Journal of Theriology	1682-3559	-	KMK Scientific Press Ltd.	
Russian Journal of Woman and Child Health	2618-8430	2686-7184	Meditsina-Inform LLC	Unpaywall Open Access
Russian Language at School	0131-6141	2619-0966	Nash Language Limited Liability Company	
Russian Language Studies	2618-8163	2618-8171	RUDN University	Unpaywall Open Access
Russian Linguistics	0304-3487	1572-8714	Springer Netherlands	
Russian Mathematical Surveys	0036-0279	1468-4829	Steklov Mathematical Institute of Russian Academy of Sciences	
Russian Mathematics	1066-369X	1934-810X	Pleiades Publishing	
Russian Medical Inquiry	2587-6821	2686-9918	Meditsina-Inform LLC	Unpaywall Open Access
Russian Metallurgy (Metally)	0036-0295	1555-6255	Pleiades Publishing	
Russian Meteorology and Hydrology	1068-3739	1934-8096	Pleiades Publishing	
Russian Microelectronics	1063-7397	1608-3415	Pleiades Publishing	
Russian Military Medical Academy Reports	2713-2315	2713-2323	Eco-Vector LLC	
Russian Neurological Journal	2658-7947	2686-7192	Medicinskoe Informacionnoe agentstvo	
Russian Open Medical Journal	-	2304-3415	Russian Open Medical Journal	Unpaywall Open Access
Russian Peasant Studies	2500-1809	2949-2564	Russian Presidental Academy of National Economy and Public Administration	
Russian Physics Journal	1064-8887	1573-9228	Springer New York	
Russian Politics	2451-8913	2451-8921	Brill Academic Publishers	
Russian Politics and Law	1061-1940	1558-0962	M.E. Sharpe Inc.	
Russian Psychological Journal	1812-1853	2411-5789	Russian Psychological Society	Unpaywall Open Access
Russian Review	0036-0341	-	Wiley-Blackwell Publishing Ltd	
Russian Rhinology	0869-5474	2411-8788	Media Sphera Publishing Group	
Russian Sklifosovsky Journal of Emergency Medical Care	2223-9022	2541-8017	Sklifosovsky Research Institute for Emergency Medicine	Unpaywall Open Access
Russian Sociological Review	1728-192X	1728-1938	National Research University Higher School of Economics	Unpaywall Open Access
Russian Studies in Philosophy	1061-1967	1558-0431	M.E. Sharpe Inc.	
RussianStudiesHu	2677-1640	2677-0660	Eotvos Lorand University Faculty of Arts, Russian Studies Center	Unpaywall Open Access
Russkaia Literatura	0131-6095	-	Rossiiskaya Akademiya Nauk Institut Russkoi Literatury (Pushkinskii Dom)	
Russkaya Rech	0131-6117	-	Russian Academy of Sciences	
Russkii Zhunal Detskoi Nevrologii	2073-8803	2412-9178	ABV-press Publishing House	Unpaywall Open Access
Rutgers Business Review	2474-2376	2474-6509	Rutgers Business School	
Ruthenica	0136-0027	2307-7336	A.N.Severtsov Institute of Ecology and Evolution of RAS	
Rwanda Journal of Medicine and Health Sciences	2616-9819	2616-9827	University of Rwanda College of Medicine and Health Sciences	Unpaywall Open Access
Rwanda Medical Journal	2079-097X	2410-8626	Rwanda Biomedical Centre (RBC)	Unpaywall Open Access
Rynek Energii	1425-5960	-	Kaprint	
SA Journal of Human Resource Management	1683-7584	2071-078X	AOSIS (Pty) Ltd	Unpaywall Open Access
SA Journal of Industrial Psychology	0258-5200	2071-0763	AOSIS (Pty) Ltd	Unpaywall Open Access
SA Pharmaceutical Journal	2221-5875	2220-1017	Medpharm Publications	
Sabrao Journal of Breeding and Genetics	1029-7073	-	Society for the Advancement of Breeding Researches in Asia and Oceania (SABRAO)	
Sacris Erudiri	0771-7776	-	Brepols Publishers	
Sadhana - Academy Proceedings in Engineering Sciences	0256-2499	0973-7677	Springer India	
SAE International Journal of Advances and Current Practices in Mobility	-	2641-9645	SAE International	
SAE International Journal of Aerospace	1946-3855	1946-3901	SAE International	
SAE International Journal of Commercial Vehicles	1946-391X	1946-3928	SAE International	
SAE International Journal of Connected and Automated Vehicles	2574-0741	2574-075X	SAE International	
SAE International Journal of Electrified Vehicles	2691-3747	2691-3755	SAE International	
SAE International Journal of Engines	1946-3936	1946-3944	SAE International	
SAE International Journal of Fuels and Lubricants	1946-3952	1946-3960	SAE International	
SAE International Journal of Materials and Manufacturing	1946-3979	1946-3987	SAE International	
SAE International Journal of Passenger Vehicle Systems	2770-3460	2770-3479	SAE International	
SAE International Journal of Transportation Safety	2327-5626	2327-5634	SAE International	
SAE International Journal of Vehicle Dynamics, Stability, and NVH	2380-2162	2380-2170	SAE International	
